Date,Close/Last,Volume,Open,High,Low
07/01/2021,14548.50,431519,14558.50,14606.25,14471.00
06/30/2021,14549.00,378613,14584.75,14598.50,14518.25
06/29/2021,14563.00,355364,14504.50,14584.75,14468.75
06/28/2021,14512.50,370671,14350.00,14519.75,14333.25
06/25/2021,14339.00,375580,14365.75,14394.25,14313.25
06/24/2021,14354.25,405651,14275.25,14422.00,14270.00
06/23/2021,14263.00,360338,14274.00,14315.75,14231.75
06/22/2021,14258.25,416675,14136.75,14279.25,14066.50
06/21/2021,14130.00,497804,14022.75,14144.00,13958.50
06/18/2021,14035.00,563285,14180.00,14204.75,14010.00
06/17/2021,14156.25,655171,13941.00,14199.00,13841.75
06/16/2021,13981.25,119032,14046.75,14103.75,13840.00
06/15/2021,14030.25,169605,14119.50,14163.00,14009.25
06/14/2021,14124.75,225604,13999.00,14133.50,13965.25
06/11/2021,13994.25,254883,13975.50,13997.75,13932.25
06/10/2021,13959.75,489493,13817.00,13976.50,13726.00
06/09/2021,13814.25,375099,13813.00,13904.25,13803.50
06/08/2021,13811.50,478842,13823.00,13917.25,13741.75
06/07/2021,13804.25,388248,13773.25,13824.00,13691.50
06/04/2021,13766.75,436900,13531.75,13783.75,13467.75
06/03/2021,13529.25,547561,13679.50,13707.75,13462.25
06/02/2021,13673.75,369984,13686.50,13706.00,13603.25
06/01/2021,13648.75,444512,13660.50,13773.00,13592.25
05/28/2021,13686.50,362406,13690.25,13699.50,13682.00
05/27/2021,13665.50,386050,13702.50,13720.75,13620.25
05/26/2021,13700.25,338850,13695.75,13709.25,13677.75
05/25/2021,13656.25,433185,13629.50,13671.25,13628.00
05/24/2021,13635.25,361125,13383.25,13686.00,13356.50
05/21/2021,13405.00,448020,13492.50,13570.00,13395.75
05/20/2021,13486.50,459948,13220.50,13522.75,13150.75
05/19/2021,13233.50,660245,13182.00,13243.00,12954.25
05/18/2021,13212.00,434611,13308.50,13432.25,13178.50
05/17/2021,13303.50,480189,13380.25,13448.50,13182.75
05/14/2021,13387.00,465004,13095.00,13426.25,13071.00
05/13/2021,13100.25,717138,13146.00,13146.50,13066.00
05/12/2021,12998.50,748223,13052.75,13072.50,12959.75
05/11/2021,13346.00,782781,13336.25,13356.50,13310.00
05/10/2021,13356.75,592645,13386.50,13414.00,13305.50
